Tumor_Sample_Barcode	experimental_strategy	mutation_count	region_size	tmb
BS_MB5K2C19	WGS	117	35984681	3.2513835540184446
BS_N88EQK8Z	WGS	136	35984681	3.779386011508619
BS_46TXYD8H	WGS	86	35984681	2.389905860218686
BS_4QH8B0VS	WGS	72	35984681	2.0008514178575045
BS_M28HG0NT	WGS	29	35984681	0.8058984877481614
BS_RM13B4YN	WGS	114	35984681	3.1680147449410483
BS_T7WMJ08W	WGS	12	35984681	0.33347523630958403
BS_96S0VQBN	WGS	71	35984681	1.9730618148317056
BS_ZN35MFSR	WGS	68	35984681	1.8896930057543095
BS_GMVP7K9F	WGS	150	35984681	4.168440453869801
BS_F064HMTP	WGS	5	35984681	0.13894801512899335
BS_CKX0QTD6	WGS	28	35984681	0.7781088847223628
BS_742CDKAS	WGS	80	35984681	2.2231682420638936
BS_S791VC80	WGS	88	35984681	2.445485066270283
BS_AYPBAHJ6	WGS	32	35984681	0.8892672968255575
BS_82KENKT0	WGS	97	35984681	2.695591493502471
BS_VQEKRQ7C	WGS	6	35984681	0.16673761815479202
BS_1WY6405N	WGS	28	35984681	0.7781088847223628
BS_KXGJ1HMG	WGS	18	35984681	0.5002128544643761
BS_P0QJ1QAH	WGS	257	35984681	7.141927977630258
BS_SK4H5MJQ	WGS	33	35984681	0.9170568998513562
BS_E3B3926M	WGS	94	35984681	2.612222684425075
BS_1S5V7WWC	WGS	27	35984681	0.7503192816965641
BS_3NX3RBCX	WGS	40	35984681	1.1115841210319468
BS_D6XHKZDZ	WGS	5	35984681	0.13894801512899335
BS_W2QCHQ7E	WGS	32	35984681	0.8892672968255575
BS_NJFK43N3	WGS	6	35984681	0.16673761815479202
BS_58X7SKJS	WGS	27	35984681	0.7503192816965641
BS_HBSA5CW2	WGS	22	35984681	0.6113712665675708
BS_81SVXT4D	WGS	502	35984681	13.950380718950933
BS_79NQJZ09	WGS	26	35984681	0.7225296786707655
BS_WJF6ZXWN	WGS	14	35984681	0.3890544423611814
BS_9DM8H1RX	WGS	10	35984681	0.2778960302579867
BS_AB4QGN7R	WGS	149	35984681	4.140650850844002
BS_EP25TTAG	WGS	41	35984681	1.1393737240577455
BS_G9MQM1KK	WGS	32	35984681	0.8892672968255575
BS_KAD49R68	WGS	32	35984681	0.8892672968255575
BS_WFPXQ57P	WGS	3	35984681	0.08336880907739601
BS_WJB33V17	WGS	11	35984681	0.3056856332837854
BS_GCG2PKQA	WGS	211	35984681	5.86360623844352
BS_3S64YXFJ	WGS	116	35984681	3.2235939509926457
BS_KY1CTGJ3	WGS	67	35984681	1.8619034027285108
BS_230S192D	WGS	36	35984681	1.0004257089287523
BS_BQWMQM2Y	WGS	19	35984681	0.5280024574901747
BS_Y4CC9PKT	WGS	432	35984681	12.005108507145026
BS_85Q5P8GF	WGS	190	35984681	5.280024574901748
BS_85J1DDJS	WGS	40	35984681	1.1115841210319468
BS_FAZBX8AS	WGS	29	35984681	0.8058984877481614
BS_KHSYAB3J	WGS	48	35984681	1.3339009452383361
BS_EPM623G4	WGS	47	35984681	1.3061113422125374
BS_QJ58E1KY	WGS	162	35984681	4.501915690179385
BS_00TRPEQX	WGS	65	35984681	1.8063241966769137
BS_QWS88QXE	WGS	6	35984681	0.16673761815479202
BS_SG37096X	WGS	8	35984681	0.22231682420638937
BS_80078QDG	WGS	61	35984681	1.695165784573719
BS_823V5X6Z	WGS	13	35984681	0.3612648393353827
BS_B9QP40ER	WGS	16	35984681	0.44463364841277875
BS_QQP17PDQ	WGS	49	35984681	1.3616905482641348
BS_KSHETTQC	WGS	5	35984681	0.13894801512899335
BS_KYVZWYMS	WGS	89	35984681	2.4732746692960816
BS_4MGT61BX	WGS	116	35984681	3.2235939509926457
BS_ASGBEHAX	WGS	117	35984681	3.2513835540184446
BS_SKRY0BJ4	WGS	23	35984681	0.6391608695933695
BS_HJ95JNFN	WGS	7	35984681	0.1945272211805907
BS_E4N5C9JF	WGS	687	35984681	19.091457278723688
BS_7ZM4PG53	WGS	193	35984681	5.363393383979144
BS_WPCBK1EG	WGS	29	35984681	0.8058984877481614
BS_JZ40GV74	WGS	93	35984681	2.5844330813992764
BS_D368BNRD	WGS	29	35984681	0.8058984877481614
BS_DFTX5Q9V	WGS	70	35984681	1.945272211805907
BS_E42SSQGJ	WGS	7	35984681	0.1945272211805907
